text_content,extracted_keywords,true_category,true_severity
There's... Reports are coming in from Bus Depot about a explosion. There is smoke. The weather is strong winds.,strong winds; bus depot; explosion,RESCUE,4
"I... I don't know, Please hurry! The caller says there is a hazardous material incident at Commercial Street.",hazardous material incident; commercial street; dont,HAZMAT,2
The caller says there is a cyclone damage at Station Road. People are moving away. People are moving away.,cyclone damage; station road; caller,CYCLONE,2
"Wait, yes, Heavy poor visibility is making the situation worse near Eastern Bypass. There is a truck accident. The weather is poor visibility. A driver is waiting.",truck accident; poor visibility; eastern bypass,CRASH,2
"Wait, yes, Caller reports a fallen tree at Eastern Bypass. There is live electrical wires. Please hurry!",live electrical wires; fallen tree; eastern bypass,RESCUE,1
The caller says there is a railway accident at Old Railway Crossing. People are moving away. Please hurry!,old railway crossing; railway accident; caller,CRASH,2
"It's, um, Ahhh! Caller reports a urban flooding at Market Road. There is oil spill.",oil spill; urban flooding; market road,FLOOD,2
There's... 911? Reports are coming in from South Flyover about a building fire. There is rising water. Traffic is building up. Visibility is poor.,rising water; south flyover; building fire,FIRE,2
Please send help to Harbor Area. We have a heat emergency involving a delivery vehicle. Traffic is building up. The weather is strong winds.,strong winds; harbor area; delivery vehicle,MEDICAL,2
Help! Reports are coming in from Railway Yard about a industrial accident. There is chemical fumes. A security guard is waiting.,railway yard; security guard; industrial accident,MEDICAL,2
"Oh sorry, pizza delivery complaint. Everything is fine.",none,NOISE,0
911? We have a missing person near City Center. It happened around noon. Visibility is poor. Traffic is building up. Send someone now!,city center; missing person; happened,RESCUE,1
Ahhh! I think there has been a dam overflow near Industrial Area. a seriously injured driver. The weather is cold weather. Traffic is building up.,a seriously injured driver; industrial area; cold weather,FLOOD,3
Oh my god! I think there has been a bus crash near Tunnel Entrance. a seriously injured driver. Send someone now!,a seriously injured driver; bus crash; tunnel entrance,CRASH,2
I think there has been a motorcycle accident near Station Road. three injured passengers. The incident happened around midnight. A elderly person is waiting. What do I do?!,three injured passengers; elderly person; motorcycle accident,CRASH,2
Help! There has been a severe rainfall near Industrial Area. I can see a truck involved and a seriously injured driver. Traffic is building up. What do I do?!,a seriously injured driver; industrial area; severe rainfall,CYCLONE,3
I am near Old Railway Crossing and there has been a medical emergency. The road is affected and I can see fuel leak. Visibility is poor. Send someone now!,old railway crossing; fuel leak; medical emergency,MEDICAL,3
Ahhh! Please send help to Central Market. We have a cyclone damage involving a ambulance. What do I do?!,cyclone damage; central market; ambulance,CYCLONE,1
"It's, um, Please hurry! We have a hazardous material incident near Old Bridge. It happened before sunrise.",hazardous material incident; old bridge; please,HAZMAT,2
There's... Reports are coming in from Industrial Gate about a electrical accident. There is blocked road. What do I do?!,electrical accident; industrial gate; blocked road,FIRE,2
"Oh sorry, asking for directions. Everything is fine.",none,NOISE,0
Ahhh! Reports are coming in from Commercial Street about a building collapse. There is chemical fumes. What do I do?!,building collapse; commercial street; chemical fumes,RESCUE,4
"It's, um, Heavy extreme heat is making the situation worse near College Road. There is a forest fire. The weather is extreme heat.",extreme heat; college road; forest fire,FIRE,3
"I... I don't know, Caller reports a storm damage at Airport Junction. There is fallen tree. Visibility is poor. Send someone now!",storm damage; airport junction; fallen tree,CYCLONE,3
There has been a earthquake damage near Residential Block. I can see a sedan involved and a trapped passenger. Traffic is building up. Please hurry!,a trapped passenger; earthquake damage; residential block,RESCUE,4
"It's, um, A pedestrian says there is a dam overflow near Underpass. They noticed blocked road.",blocked road; dam overflow; pedestrian,FLOOD,1
"It's, um, Heavy thunderstorm is making the situation worse near Underpass. There is a chemical spill.",chemical spill; thunderstorm; underpass,HAZMAT,2
Ahhh! Caller reports a truck accident at Bus Terminal. There is diesel leak. People are moving away.,truck accident; diesel leak; bus terminal,CRASH,2
There's... I think there has been a bus crash near Port Entrance. one injured person. The incident happened a few minutes ago.,one injured person; port entrance; bus crash,CRASH,2
"I... I don't know, I think there has been a chemical spill near Main Highway. an injured child. Visibility is poor. Traffic is building up. Send someone now!",an injured child; main highway; chemical spill,HAZMAT,2
There's... I think there has been a landslide near Airport Junction. people with minor injuries. The incident happened about ten minutes ago.,people with minor injuries; airport junction; landslide,RESCUE,1
"I... I don't know, 911? Caller reports a drowning at City Hospital. There is broken glass. Traffic is building up. What do I do?!",broken glass; city hospital; drowning,RESCUE,5
Ahhh! Please send help to Harbor Area. We have a cyclone damage involving a truck. Traffic is building up. The weather is strong winds.,cyclone damage; strong winds; harbor area,CYCLONE,1
"I... I don't know, Ahhh! There has been a evacuation near Market Road. I can see a car involved and a seriously injured driver.",a seriously injured driver; market road; car,RESCUE,2
Help! A cyclist says there is a stampede near Dam Road. They noticed chemical fumes. What do I do?!,chemical fumes; dam road; cyclist,RESCUE,1
The caller says there is a evacuation at Highway Toll Plaza. What do I do?!,highway toll plaza; evacuation; caller,RESCUE,2
Please hurry! Heavy extreme heat is making the situation worse near Old Bridge. There is a train derailment.,extreme heat; old bridge; train derailment,CRASH,5
There's... Please send help to City Hospital. We have a explosion involving a school bus.,school bus; city hospital; explosion,RESCUE,4
There's... Help! I think there has been a cyclone damage near Highway Toll Plaza. people with minor injuries. Please hurry!,people with minor injuries; highway toll plaza; cyclone damage,CYCLONE,1
Heavy cyclonic winds is making the situation worse near Central Flyover. There is a warehouse fire. Traffic is building up. A security guard is waiting.,central flyover; security guard; warehouse fire,FIRE,2
We have a flash flood near Warehouse District. It happened around midnight. A passenger is waiting. Send someone now!,warehouse district; flash flood; passenger,FLOOD,2
"Wait, yes, A construction worker says there is a hazardous material incident near Coastal Road. They noticed broken glass. The incident happened around noon. Visibility is poor.",hazardous material incident; broken glass; construction worker,HAZMAT,1
Caller reports a hazardous material incident at College Road. There is broken glass. People are moving away. Send someone now!,hazardous material incident; broken glass; college road,HAZMAT,1
I am near City Center and there has been a road blockage. The road is affected and I can see debris. Visibility is poor.,city center; road blockage; debris,RESCUE,1
Reports are coming in from Eastern Bypass about a aircraft emergency. There is diesel leak. Visibility is poor. Visibility is poor.,diesel leak; aircraft emergency; eastern bypass,CRASH,3
"It's, um, Caller reports a heat emergency at Central Market. There is unstable structure. The incident happened about ten minutes ago. People are moving away.",unstable structure; central market; heat emergency,MEDICAL,1
Ahhh! I think there has been a train derailment near Outer Ring Road. two injured people. Traffic is building up. A elderly person is waiting. What do I do?!,two injured people; outer ring road; elderly person,CRASH,5
"I... I don't know, Ahhh! Caller reports a urban flooding at Factory Road. There is fuel leak. The weather is cold weather. What do I do?!",cold weather; fuel leak; urban flooding,FLOOD,2
"Wait, yes, Help! There has been a chemical spill near Industrial Gate. I can see a SUV involved and an injured child. Traffic is building up. Please hurry!",an injured child; industrial gate; chemical spill,HAZMAT,2
"It's, um, Help! Heavy dense fog is making the situation worse near Forest Checkpoint. There is a train derailment. Visibility is poor. Send someone now!",dense fog; train derailment; forest checkpoint,CRASH,5
"I... I don't know, Help! We have a lightning strike near Western Expressway. It happened early this morning. People are moving away. Send someone now!",lightning strike; western expressway; dont,CYCLONE,2
"Wait, yes, Caller reports a truck accident at Airport Junction. There is debris. A security guard is waiting. Send someone now!",airport junction; truck accident; security guard,CRASH,1
There's... Caller reports a wildfire at City Hospital. There is rising water.,city hospital; rising water; wildfire,FIRE,3
Ahhh! Caller reports a factory fire at Central Market. There is unstable structure. Visibility is poor. Please hurry!,unstable structure; factory fire; central market,FIRE,3
"I... I don't know, 911? The caller says there is a stampede at Bus Terminal. Visibility is poor. Visibility is poor. Please hurry!",bus terminal; stampede; dont,RESCUE,2
We have a boat accident near Main Highway. It happened before sunrise. What do I do?!,main highway; boat accident; happened,CRASH,2
Oh my god! I am near Bus Terminal and there has been a wildfire. The road is affected and I can see fire.,bus terminal; wildfire; road,FIRE,3
There has been a storm damage near Forest Checkpoint. I can see a tanker involved and several injured people. Traffic is building up. Traffic is building up. What do I do?!,several injured people; storm damage; forest checkpoint,CYCLONE,3
Oh my god! Heavy cold weather is making the situation worse near Factory Road. There is a missing person. Send someone now!,cold weather; missing person; factory road,RESCUE,2
"Wait, yes, We have a building fire near Temple Road. It happened before sunrise. People are moving away. Traffic is building up. Please hurry!",temple road; building fire; wait,FIRE,3
There's... We have a motorcycle accident near Main Highway. It happened this afternoon.,main highway; motorcycle accident; theres,CRASH,1
Reports are coming in from Residential Block about a dam overflow. There is broken glass. Traffic is building up.,broken glass; residential block; dam overflow,FLOOD,2
911? I think there has been a dam overflow near Market Road. three injured passengers. The weather is continuous rainfall. Traffic is building up. What do I do?!,three injured passengers; continuous rainfall; market road,FLOOD,3
Please send help to Main Highway. We have a gas leak involving a motorcycle. Traffic is building up. The incident happened about ten minutes ago. Send someone now!,main highway; gas leak; motorcycle,HAZMAT,2
"It's, um, 911? There has been a road blockage near South Flyover. I can see a sedan involved and three injured passengers. Visibility is poor. Send someone now!",three injured passengers; road blockage; south flyover,RESCUE,2
Please send help to Port Entrance. We have a wildfire involving a school bus. The weather is stormy weather. People are moving away.,school bus; stormy weather; port entrance,FIRE,2
"It's, um, Heavy heavy rain is making the situation worse near Highway Toll Plaza. There is a gas leak.",highway toll plaza; gas leak; heavy rain,HAZMAT,3
"It's, um, Ahhh! A resident says there is a building collapse near River Bridge. They noticed gas leak. The weather is dust storm. Visibility is poor.",dust storm; building collapse; river bridge,RESCUE,5
There's... Heavy heavy rain is making the situation worse near Old Bridge. There is a cyclone damage. A cyclist is waiting. Visibility is poor. What do I do?!,old bridge; cyclone damage; heavy rain,CYCLONE,2
Caller reports a train derailment at Forest Checkpoint. There is blocked road. The weather is stormy weather. A child is waiting.,stormy weather; blocked road; train derailment,CRASH,4
Caller reports a railway accident at Warehouse District. There is blocked road. A elderly person is waiting.,railway accident; blocked road; elderly person,CRASH,1
I am near Central Flyover and there has been a stampede. The road is affected and I can see toxic fumes.,central flyover; toxic fumes; stampede,RESCUE,2
There has been a building fire near Outer Ring Road. I can see a van involved and several injured people. What do I do?!,several injured people; outer ring road; building fire,FIRE,3
Please send help to Western Expressway. We have a vehicle collision involving a school bus.,school bus; vehicle collision; western expressway,CRASH,2
Please hurry! Caller reports a lightning strike at Market Road. There is unstable structure. Traffic is building up.,lightning strike; unstable structure; market road,CYCLONE,1
Ahhh! Reports are coming in from Outer Ring Road about a road blockage. There is smoke. People are moving away. A shopkeeper is waiting. Please hurry!,outer ring road; road blockage; shopkeeper,RESCUE,1
Please hurry! A child says there is a cold exposure near College Road. They noticed debris. People are moving away.,college road; cold exposure; child,MEDICAL,2
There's... Ahhh! There has been a hazardous material incident near Airport Road. I can see a ambulance involved and an injured child. People are moving away. A worker is waiting.,an injured child; hazardous material incident; airport road,HAZMAT,2
Help! A elderly person says there is a industrial accident near Temple Road. They noticed live electrical wires. The incident happened during rush hour.,live electrical wires; temple road; elderly person,MEDICAL,2
Please hurry! Heavy dust storm is making the situation worse near Bus Terminal. There is a railway accident. People are moving away. A construction worker is waiting.,railway accident; construction worker; dust storm,CRASH,3
"Wait, yes, Caller reports a urban flooding at Coastal Road. There is chemical fumes. The incident happened early this morning. Visibility is poor. Send someone now!",urban flooding; chemical fumes; coastal road,FLOOD,3
"It's, um, The caller says there is a industrial accident at Old Railway Crossing. Traffic is building up. A resident is waiting.",old railway crossing; industrial accident; resident,MEDICAL,1
Help! We have a motorcycle accident near Western Expressway. It happened about ten minutes ago. Please hurry!,motorcycle accident; western expressway; help,CRASH,2
"It's, um, Oh my god! I am near Temple Road and there has been a power line failure. The road is affected and I can see smoke. The incident happened about half an hour ago. The incident happened about half an hour ago.",power line failure; temple road; smoke,HAZMAT,1
Please hurry! Heavy cold weather is making the situation worse near Outer Ring Road. There is a bus crash. Visibility is poor. The weather is cold weather. What do I do?!,outer ring road; cold weather; bus crash,CRASH,3
"Wait, yes, Reports are coming in from Harbor Area about a gas leak. There is fuel leak. Traffic is building up. The incident happened late last night.",fuel leak; gas leak; harbor area,HAZMAT,2
911? Caller reports a hazardous material incident at Outer Ring Road. There is debris.,hazardous material incident; outer ring road; debris,HAZMAT,2
911? Please send help to Market Road. We have a industrial accident involving a bus. A resident is waiting. The weather is thunderstorm.,industrial accident; market road; thunderstorm,MEDICAL,3
Please hurry! We have a hazardous material incident near Station Road. It happened just now. The incident happened just now.,hazardous material incident; station road; please,HAZMAT,2
Reports are coming in from North Underpass about a evacuation. There is unstable structure. The incident happened about ten minutes ago. Traffic is building up.,north underpass; unstable structure; evacuation,RESCUE,1
There's... 911? A worker says there is a chemical spill near Industrial Gate. They noticed rising water. The weather is dust storm.,industrial gate; dust storm; rising water,HAZMAT,3
Ahhh! Heavy poor visibility is making the situation worse near Bus Depot. There is a motorcycle accident.,poor visibility; motorcycle accident; bus depot,CRASH,1
There's... I think there has been a motorcycle accident near Main Highway. people with minor injuries. People are moving away.,people with minor injuries; main highway; motorcycle accident,CRASH,1
There's... 911? There has been a boat accident near Railway Station. I can see a SUV involved and a trapped passenger.,a trapped passenger; boat accident; railway station,CRASH,4
I think there has been a boat accident near Industrial Area. two injured people. The weather is dense fog. A construction worker is waiting.,two injured people; boat accident; industrial area,CRASH,2
Ahhh! The caller says there is a bus crash at Outer Ring Road. A pedestrian is waiting.,outer ring road; bus crash; pedestrian,CRASH,3
Ahhh! A elderly person says there is a chemical spill near Port Entrance. They noticed gas leak. A elderly person is waiting. The incident happened a few minutes ago. What do I do?!,port entrance; elderly person; chemical spill,HAZMAT,3
"It's, um, Please hurry! Reports are coming in from Airport Junction about a railway accident. There is gas leak. Send someone now!",railway accident; airport junction; gas leak,CRASH,3
"It's, um, Caller reports a lightning strike at Port Entrance. There is fuel leak. Traffic is building up.",lightning strike; port entrance; fuel leak,CYCLONE,3
Please hurry! I am near Old Bridge and there has been a heat emergency. The road is affected and I can see fuel leak. A elderly person is waiting. Send someone now!,old bridge; fuel leak; elderly person,MEDICAL,2
The caller says there is a factory fire at Forest Checkpoint. Traffic is building up.,factory fire; forest checkpoint; caller,FIRE,3
"It's, um, Please send help to Dam Road. We have a fallen tree involving a sedan. People are moving away.",fallen tree; dam road; sedan,RESCUE,2
911? Please send help to Factory Road. We have a flash flood involving a truck. People are moving away. Please hurry!,flash flood; factory road; truck,FLOOD,2
Help! There has been a storm damage near Central Market. I can see a van involved and two injured people. A driver is waiting.,two injured people; storm damage; central market,CYCLONE,2
Reports are coming in from Central Market about a drowning. There is unstable structure.,unstable structure; central market; drowning,RESCUE,5
Caller reports a power line failure at Airport Road. There is unstable structure. A passenger is waiting. A passenger is waiting. Please hurry!,power line failure; airport road; unstable structure,HAZMAT,2
There has been a earthquake damage near South Flyover. I can see a tanker involved and two injured people.,two injured people; earthquake damage; south flyover,RESCUE,4
There's... The caller says there is a building fire at Coastal Road.,coastal road; building fire; theres,FIRE,2
Oh my god! I am near Railway Yard and there has been a electrical accident. The road is affected and I can see smoke. A driver is waiting. The incident happened late last night.,electrical accident; railway yard; driver,FIRE,2
Please send help to Factory Road. We have a storm damage involving a school bus.,school bus; storm damage; factory road,CYCLONE,3
Please send help to Airport Road. We have a railway accident involving a train. People are moving away. People are moving away.,railway accident; airport road; train,CRASH,2
There's... Please send help to Eastern Bypass. We have a car rollover involving a tanker.,eastern bypass; car rollover; tanker,CRASH,2
"I... I don't know, Please hurry! Please send help to Bus Depot. We have a industrial accident involving a van. The weather is dust storm. Visibility is poor.",dust storm; industrial accident; bus depot,MEDICAL,3
Heavy dust storm is making the situation worse near Central Flyover. There is a lightning strike. Traffic is building up.,lightning strike; dust storm; central flyover,CYCLONE,3
I am near Residential Block and there has been a car rollover. The road is affected and I can see fallen tree. The weather is dense fog.,fallen tree; dense fog; residential block,CRASH,2
Please send help to Riverbank. We have a aircraft emergency involving a bus. The incident happened just now. A resident is waiting.,aircraft emergency; bus; riverbank,CRASH,2
Help! I think there has been a hazardous material incident near Coastal Road. an unconscious person. The weather is stormy weather.,an unconscious person; hazardous material incident; stormy weather,HAZMAT,4
Help! Reports are coming in from North Underpass about a forest fire. There is gas leak.,north underpass; gas leak; forest fire,FIRE,3
Ahhh! I think there has been a car rollover near Riverbank. people with minor injuries. The weather is cold weather. Traffic is building up. Send someone now!,people with minor injuries; cold weather; car rollover,CRASH,1
I think there has been a boat accident near Industrial Gate. an injured child. People are moving away.,an injured child; boat accident; industrial gate,CRASH,2
"I... I don't know, There has been a crowd emergency near Dam Road. I can see a container truck involved and a trapped passenger. The weather is poor visibility.",a trapped passenger; crowd emergency; container truck,RESCUE,4
Please hurry! Caller reports a aircraft emergency at Dam Road. There is debris. The incident happened late last night.,aircraft emergency; dam road; debris,CRASH,1
Help! I think there has been a fuel leak near Central Flyover. three injured passengers. A elderly person is waiting. Please hurry!,three injured passengers; central flyover; fuel leak,HAZMAT,2
"It's, um, Heavy extreme heat is making the situation worse near Riverbank. There is a flash flood. The weather is extreme heat. Visibility is poor.",extreme heat; flash flood; riverbank,FLOOD,2
I think there has been a building collapse near Coastal Road. an injured child. The weather is poor visibility. Traffic is building up.,an injured child; building collapse; poor visibility,RESCUE,5
Caller reports a severe rainfall at Eastern Bypass. There is chemical fumes.,severe rainfall; chemical fumes; eastern bypass,CYCLONE,1
"I... I don't know, Reports are coming in from Bus Terminal about a medical emergency. There is debris. A pedestrian is waiting. Send someone now!",bus terminal; medical emergency; pedestrian,MEDICAL,2
Help! We have a road blockage near Coastal Road. It happened around noon.,road blockage; coastal road; help,RESCUE,2
Please hurry! Caller reports a forest fire at Shopping District. There is blocked road. The weather is stormy weather. Traffic is building up. What do I do?!,stormy weather; blocked road; shopping district,FIRE,3
Oh my god! Reports are coming in from Western Expressway about a medical emergency. There is blocked road. Traffic is building up. Send someone now!,blocked road; western expressway; medical emergency,MEDICAL,1
Oh my god! We have a severe rainfall near Warehouse District. It happened just now.,severe rainfall; warehouse district; happened,CYCLONE,1
"It's, um, Help! We have a power line failure near Station Road. It happened about half an hour ago. The weather is thunderstorm.",power line failure; station road; thunderstorm,HAZMAT,3
Oh my god! I think there has been a crowd emergency near Coastal Road. a seriously injured driver. The weather is cyclonic winds. What do I do?!,a seriously injured driver; crowd emergency; coastal road,RESCUE,3
911? Please send help to Temple Road. We have a fallen tree involving a ambulance.,fallen tree; temple road; ambulance,RESCUE,1
There's... Please send help to Station Road. We have a railway accident involving a bus. The weather is dust storm. The weather is dust storm.,railway accident; dust storm; station road,CRASH,2
Please hurry! We have a vehicle collision near Highway Toll Plaza. It happened about half an hour ago. The weather is wet roads. What do I do?!,highway toll plaza; vehicle collision; wet roads,CRASH,1
Reports are coming in from Highway Toll Plaza about a landslide. There is fallen tree. Send someone now!,highway toll plaza; fallen tree; landslide,RESCUE,1
"It's, um, Caller reports a factory fire at Highway Toll Plaza. There is rising water. The weather is strong winds. The weather is strong winds.",highway toll plaza; rising water; strong winds,FIRE,2
There's... Reports are coming in from Main Highway about a chemical spill. There is smoke. The incident happened about half an hour ago. Please hurry!,main highway; chemical spill; smoke,HAZMAT,2
"Wait, yes, Ahhh! Caller reports a missing person at Warehouse District. There is blocked road. What do I do?!",blocked road; missing person; warehouse district,RESCUE,1
Heavy dust storm is making the situation worse near College Road. There is a evacuation. The weather is dust storm. A security guard is waiting.,dust storm; security guard; college road,RESCUE,2
Oh my god! The caller says there is a vehicle collision at Residential Block. A shopkeeper is waiting. People are moving away.,vehicle collision; residential block; shopkeeper,CRASH,2
"Wait, yes, Ahhh! I think there has been a motorcycle accident near Outer Ring Road. a trapped passenger.",a trapped passenger; outer ring road; motorcycle accident,CRASH,4
"It's, um, Caller reports a urban flooding at Industrial Area. There is live electrical wires. The incident happened about half an hour ago.",live electrical wires; industrial area; urban flooding,FLOOD,2
We have a factory fire near Dam Road. It happened about half an hour ago.,factory fire; dam road; happened,FIRE,3
Heavy wet roads is making the situation worse near Port Entrance. There is a bridge damage. The weather is wet roads. The weather is wet roads.,port entrance; wet roads; bridge damage,RESCUE,2
A child says there is a cyclone damage near Main Highway. They noticed debris.,main highway; cyclone damage; child,CYCLONE,1
"I... I don't know, I think there has been a road blockage near Ring Road. one injured person.",one injured person; ring road; road blockage,RESCUE,3
"I... I don't know, Caller reports a earthquake damage at Airport Junction. There is gas leak. The incident happened before sunrise. The weather is lightning. Send someone now!",airport junction; earthquake damage; gas leak,RESCUE,5
911? Heavy dust storm is making the situation worse near Temple Road. There is a train derailment. Traffic is building up. The incident happened late last night. Send someone now!,dust storm; temple road; train derailment,CRASH,4
I think there has been a stampede near Airport Road. one injured person. The incident happened late last night. Traffic is building up.,one injured person; airport road; stampede,RESCUE,3
Please send help to Market Road. We have a chemical spill involving a sedan. The incident happened this afternoon.,chemical spill; market road; sedan,HAZMAT,3
"Oh sorry, pothole on road. Everything is fine.",none,NOISE,0
Heavy extreme heat is making the situation worse near Temple Road. There is a building collapse. What do I do?!,extreme heat; building collapse; temple road,RESCUE,4
"I... I don't know, I am near Riverbank and there has been a fuel leak. The road is affected and I can see live electrical wires. Traffic is building up.",live electrical wires; fuel leak; riverbank,HAZMAT,3
